match,teamInnings,battingPos,batsmanName,runs,balls,4s,6s,SR,out/not_out,match_id
KKR Vs SRH,SRH,1,AbhishekSharmaÂ,2,5,0,0,40.00,out,
KKR Vs SRH,SRH,2,TravisHeadÂ,0,1,0,0,0.00,out,
KKR Vs SRH,SRH,3,RahulTripathiÂ,9,13,1,0,69.23,out,
KKR Vs SRH,SRH,4,AidenMarkramÂ,20,23,3,0,86.95,out,
KKR Vs SRH,SRH,5,NitishKumar ReddyÂ,13,10,1,1,130.00,out,
KKR Vs SRH,SRH,6,HeinrichKlaasenÂ,16,17,1,0,94.11,out,
KKR Vs SRH,SRH,7,ShahbazAhmedÂ,8,7,0,1,114.28,out,
KKR Vs SRH,SRH,8,AbdulSamadÂ,4,4,0,0,100.00,out,
KKR Vs SRH,SRH,9,PatCumminsÂ(c),24,19,2,1,126.31,out,
KKR Vs SRH,SRH,10,JaydevUnadkatÂ,4,11,0,0,36.36,out,
KKR Vs SRH,SRH,11,BhuvneshwarKumarÂ,0,1,0,0,0.00,not_out,
KKR Vs SRH,KKR,1,RahmanullahGurbazÂ,39,32,5,2,121.87,out,
KKR Vs SRH,KKR,2,SunilNarineÂ,6,2,0,1,300.00,out,
KKR Vs SRH,KKR,3,VenkateshIyerÂ,52,26,4,3,200.00,not_out,
KKR Vs SRH,KKR,4,ShreyasIyerÂ(c),6,3,1,0,200.00,not_out,
RR Vs SRH,SRH,1,TravisHeadÂ,34,28,3,1,121.42,out,
RR Vs SRH,SRH,2,AbhishekSharmaÂ,12,5,1,1,240.00,out,
RR Vs SRH,SRH,3,RahulTripathiÂ,37,15,5,2,246.66,out,
RR Vs SRH,SRH,4,AidenMarkramÂ,1,2,0,0,50.00,out,
RR Vs SRH,SRH,5,HeinrichKlaasenÂ,50,34,0,4,147.05,out,
RR Vs SRH,SRH,6,NitishKumar ReddyÂ,5,10,0,0,50.00,out,
RR Vs SRH,SRH,7,AbdulSamadÂ,0,1,0,0,0.00,out,
RR Vs SRH,SRH,8,ShahbazAhmedÂ,18,18,0,1,100.00,out,
RR Vs SRH,SRH,9,PatCumminsÂ(c),5,5,1,0,100.00,not_out,
RR Vs SRH,SRH,10,JaydevUnadkatÂ,5,2,1,0,250.00,out,
RR Vs SRH,RR,1,YashasviJaiswalÂ,42,21,4,3,200.00,out,
RR Vs SRH,RR,2,TomKohler-CadmoreÂ,10,16,1,0,62.50,out,
RR Vs SRH,RR,3,SanjuSamsonÂ(c),10,11,1,0,90.90,out,
RR Vs SRH,RR,4,RiyanParagÂ,6,10,0,0,60.00,out,
RR Vs SRH,RR,5,DhruvJurelÂ,56,35,7,2,160.00,not_out,
RR Vs SRH,RR,6,RavichandranAshwinÂ,0,3,0,0,0.00,out,
RR Vs SRH,RR,7,ShimronHetmyerÂ,4,10,0,0,40.00,out,
RR Vs SRH,RR,8,RovmanPowellÂ,6,12,0,0,50.00,out,
RR Vs SRH,RR,9,TrentBoultÂ,0,3,0,0,0.00,not_out,
RR Vs RCB,RCB,1,ViratKohliÂ,33,24,3,1,137.50,out,
RR Vs RCB,RCB,2,Fafdu PlessisÂ(c),17,14,2,1,121.42,out,
RR Vs RCB,RCB,3,CameronGreenÂ,27,21,2,1,128.57,out,
RR Vs RCB,RCB,4,RajatPatidarÂ,34,22,2,2,154.54,out,
RR Vs RCB,RCB,5,GlennMaxwellÂ,0,1,0,0,0.00,out,
RR Vs RCB,RCB,6,MahipalLomrorÂ,32,17,2,2,188.23,out,
RR Vs RCB,RCB,7,DineshKarthikÂ,11,13,1,0,84.61,out,
RR Vs RCB,RCB,8,SwapnilSinghÂ,9,4,0,1,225.00,not_out,
RR Vs RCB,RCB,9,KarnSharmaÂ,5,4,1,0,125.00,out,
RR Vs RCB,RR,1,YashasviJaiswalÂ,45,30,8,0,150.00,out,
RR Vs RCB,RR,2,TomKohler-CadmoreÂ,20,15,4,0,133.33,out,
RR Vs RCB,RR,3,SanjuSamsonÂ(c),17,13,0,1,130.76,out,
RR Vs RCB,RR,4,RiyanParagÂ,36,26,2,2,138.46,out,
RR Vs RCB,RR,5,DhruvJurelÂ,8,8,1,0,100.00,out,
RR Vs RCB,RR,6,ShimronHetmyerÂ,26,14,3,1,185.71,out,
RR Vs RCB,RR,7,RovmanPowellÂ,16,8,2,1,200.00,not_out,
RR Vs RCB,RR,8,RavichandranAshwinÂ,0,0,0,0,-,not_out,
KKR Vs SRH,SRH,1,TravisHeadÂ,0,2,0,0,0.00,out,
KKR Vs SRH,SRH,2,AbhishekSharmaÂ,3,4,0,0,75.00,out,
KKR Vs SRH,SRH,3,RahulTripathiÂ,55,35,7,1,157.14,out,
KKR Vs SRH,SRH,4,NitishKumar ReddyÂ,9,10,1,0,90.00,out,
KKR Vs SRH,SRH,5,ShahbazAhmedÂ,0,1,0,0,0.00,out,
KKR Vs SRH,SRH,6,HeinrichKlaasenÂ,32,21,3,1,152.38,out,
KKR Vs SRH,SRH,7,AbdulSamadÂ,16,12,0,2,133.33,out,
KKR Vs SRH,SRH,8,SanvirSinghÂ,0,1,0,0,0.00,out,
KKR Vs SRH,SRH,9,PatCumminsÂ(c),30,24,2,2,125.00,out,
KKR Vs SRH,SRH,10,BhuvneshwarKumarÂ,0,4,0,0,0.00,out,
KKR Vs SRH,SRH,11,VijayakanthViyaskanthÂ,7,5,0,0,140.00,not_out,
KKR Vs SRH,KKR,1,RahmanullahGurbazÂ,23,14,2,2,164.28,out,
KKR Vs SRH,KKR,2,SunilNarineÂ,21,16,4,0,131.25,out,
KKR Vs SRH,KKR,3,VenkateshIyerÂ,51,28,5,4,182.14,not_out,
KKR Vs SRH,KKR,4,ShreyasIyerÂ(c),58,24,5,4,241.66,not_out,
 SRH Vs PBKS ,PBKS,1,AtharvaTaideÂ,46,27,5,2,170.37,out,
 SRH Vs PBKS ,PBKS,2,PrabhsimranSinghÂ,71,45,7,4,157.77,out,
 SRH Vs PBKS ,PBKS,3,RileeRossouwÂ,49,24,3,4,204.16,out,
 SRH Vs PBKS ,PBKS,4,ShashankSinghÂ,2,4,0,0,50.00,out,
 SRH Vs PBKS ,PBKS,5,JiteshSharmaÂ(c),32,15,2,2,213.33,not_out,
 SRH Vs PBKS ,PBKS,6,AshutoshSharmaÂ,2,3,0,0,66.66,out,
 SRH Vs PBKS ,PBKS,7,ShivamSinghÂ,2,3,0,0,66.66,not_out,
 SRH Vs PBKS ,SRH,1,TravisHeadÂ,0,1,0,0,0.00,out,
 SRH Vs PBKS ,SRH,2,AbhishekSharmaÂ,66,28,5,6,235.71,out,
 SRH Vs PBKS ,SRH,3,RahulTripathiÂ,33,18,4,2,183.33,out,
 SRH Vs PBKS ,SRH,4,NitishKumar ReddyÂ,37,25,1,3,148.00,out,
 SRH Vs PBKS ,SRH,5,HeinrichKlaasenÂ,42,26,3,2,161.53,out,
 SRH Vs PBKS ,SRH,6,ShahbazAhmedÂ,3,6,0,0,50.00,out,
 SRH Vs PBKS ,SRH,7,AbdulSamadÂ,11,8,0,1,137.50,not_out,
 SRH Vs PBKS ,SRH,8,SanvirSinghÂ,6,4,1,0,150.00,not_out,
RCB Vs CSK,RCB,1,ViratKohliÂ,47,29,3,4,162.06,out,
RCB Vs CSK,RCB,2,Fafdu PlessisÂ(c),54,39,3,3,138.46,out,
RCB Vs CSK,RCB,3,RajatPatidarÂ,41,23,2,4,178.26,out,
RCB Vs CSK,RCB,4,CameronGreenÂ,38,17,3,3,223.52,not_out,
RCB Vs CSK,RCB,5,DineshKarthikÂ,14,6,1,1,233.33,out,
RCB Vs CSK,RCB,6,GlennMaxwellÂ,16,5,2,1,320.00,out,
RCB Vs CSK,RCB,7,MahipalLomrorÂ,0,1,0,0,0.00,not_out,
RCB Vs CSK,CSK,1,RuturajGaikwadÂ(c),0,1,0,0,0.00,out,
RCB Vs CSK,CSK,2,RachinRavindraÂ,61,37,5,3,164.86,out,
RCB Vs CSK,CSK,3,DarylMitchellÂ,4,6,0,0,66.66,out,
RCB Vs CSK,CSK,4,AjinkyaRahaneÂ,33,22,3,1,150.00,out,
RCB Vs CSK,CSK,5,ShivamDubeÂ,7,15,0,0,46.66,out,
RCB Vs CSK,CSK,6,RavindraJadejaÂ,42,22,3,3,190.90,not_out,
RCB Vs CSK,CSK,7,MitchellSantnerÂ,3,4,0,0,75.00,out,
RCB Vs CSK,CSK,8,MSDhoniÂ,25,13,3,1,192.30,out,
RCB Vs CSK,CSK,9,ShardulThakurÂ,1,2,0,0,50.00,not_out,
MI Vs LSG,LSG,1,KLRahulÂ(c),55,41,3,3,134.14,out,
MI Vs LSG,LSG,2,DevduttPadikkalÂ,0,1,0,0,0.00,out,
MI Vs LSG,LSG,3,MarcusStoinisÂ,28,22,5,0,127.27,out,
MI Vs LSG,LSG,4,DeepakHoodaÂ,11,9,1,0,122.22,out,
MI Vs LSG,LSG,5,NicholasPooranÂ,75,29,5,8,258.62,out,
MI Vs LSG,LSG,6,ArshadKhanÂ,0,1,0,0,0.00,out,
MI Vs LSG,LSG,7,AyushBadoniÂ,22,10,1,2,220.00,not_out,
MI Vs LSG,LSG,8,KrunalPandyaÂ,12,7,1,1,171.42,not_out,
MI Vs LSG,MI,1,RohitSharmaÂ,68,38,10,3,178.94,out,
MI Vs LSG,MI,2,DewaldBrevisÂ,23,20,1,2,115.00,out,
MI Vs LSG,MI,3,SuryakumarYadavÂ,0,3,0,0,0.00,out,
MI Vs LSG,MI,4,IshanKishanÂ,14,15,1,0,93.33,out,
MI Vs LSG,MI,5,HardikPandyaÂ(c),16,13,1,1,123.07,out,
MI Vs LSG,MI,6,NehalWadheraÂ,1,3,0,0,33.33,out,
MI Vs LSG,MI,7,NamanDhirÂ,62,28,4,5,221.42,not_out,
MI Vs LSG,MI,8,RomarioShepherdÂ,1,1,0,0,100.00,not_out,
RR Vs PBKS,RR,1,YashasviJaiswalÂ,4,4,1,0,100.00,out,
RR Vs PBKS,RR,2,TomKohler-CadmoreÂ,18,23,2,1,78.26,out,
RR Vs PBKS,RR,3,SanjuSamsonÂ(c),18,15,3,0,120.00,out,
RR Vs PBKS,RR,4,RiyanParagÂ,48,34,6,0,141.17,out,
RR Vs PBKS,RR,5,RavichandranAshwinÂ,28,19,3,1,147.36,out,
RR Vs PBKS,RR,6,DhruvJurelÂ,0,1,0,0,0.00,out,
RR Vs PBKS,RR,7,RovmanPowellÂ,4,5,1,0,80.00,out,
RR Vs PBKS,RR,8,DonovanFerreiraÂ,7,8,0,0,87.50,out,
RR Vs PBKS,RR,9,TrentBoultÂ,12,9,2,0,133.33,out,
RR Vs PBKS,RR,10,AveshKhanÂ,3,2,0,0,150.00,not_out,
RR Vs PBKS,PBKS,1,PrabhsimranSinghÂ,6,4,1,0,150.00,out,
RR Vs PBKS,PBKS,2,JonnyBairstowÂ,14,22,1,0,63.63,out,
RR Vs PBKS,PBKS,3,RileeRossouwÂ,22,13,5,0,169.23,out,
RR Vs PBKS,PBKS,4,ShashankSinghÂ,0,2,0,0,0.00,out,
RR Vs PBKS,PBKS,5,SamCurranÂ(c),63,41,5,3,153.65,not_out,
RR Vs PBKS,PBKS,6,JiteshSharmaÂ,22,20,0,2,110.00,out,
RR Vs PBKS,PBKS,7,AshutoshSharmaÂ,17,11,1,1,154.54,not_out,
DC Vs LSG,DC,1,JakeFraser-McGurkÂ,0,2,0,0,0.00,out,
DC Vs LSG,DC,2,AbishekPorelÂ,58,33,5,4,175.75,out,
DC Vs LSG,DC,3,ShaiHopeÂ,38,27,3,2,140.74,out,
DC Vs LSG,DC,4,RishabhPantÂ(c),33,23,5,0,143.47,out,
DC Vs LSG,DC,5,TristanStubbsÂ,57,25,3,4,228.00,not_out,
DC Vs LSG,DC,6,AxarPatelÂ,14,10,2,0,140.00,not_out,
DC Vs LSG,LSG,1,Quintonde KockÂ,12,8,2,0,150.00,out,
DC Vs LSG,LSG,2,KLRahulÂ(c),5,3,1,0,166.66,out,
DC Vs LSG,LSG,3,MarcusStoinisÂ,5,7,1,0,71.42,out,
DC Vs LSG,LSG,4,DeepakHoodaÂ,0,2,0,0,0.00,out,
DC Vs LSG,LSG,5,NicholasPooranÂ,61,27,6,4,225.92,out,
DC Vs LSG,LSG,6,AyushBadoniÂ,6,9,0,0,66.66,out,
DC Vs LSG,LSG,7,KrunalPandyaÂ,18,18,2,0,100.00,out,
DC Vs LSG,LSG,8,ArshadKhanÂ,58,33,3,5,175.75,not_out,
DC Vs LSG,LSG,9,YudhvirSinghÂ,14,7,1,1,200.00,out,
DC Vs LSG,LSG,10,RaviBishnoiÂ,2,2,0,0,100.00,out,
DC Vs LSG,LSG,11,Naveen-ul-HaqÂ,2,4,0,0,50.00,not_out,
RCB Vs DC,RCB,1,ViratKohliÂ,27,13,1,3,207.69,out,
RCB Vs DC,RCB,2,Fafdu PlessisÂ(c),6,7,1,0,85.71,out,
RCB Vs DC,RCB,3,WillJacksÂ,41,29,3,2,141.37,out,
RCB Vs DC,RCB,4,RajatPatidarÂ,52,32,3,3,162.50,out,
RCB Vs DC,RCB,5,CameronGreenÂ,32,24,1,2,133.33,not_out,
RCB Vs DC,RCB,6,MahipalLomrorÂ,13,8,0,1,162.50,out,
RCB Vs DC,RCB,7,DineshKarthikÂ,0,2,0,0,0.00,out,
RCB Vs DC,RCB,8,SwapnilSinghÂ,0,1,0,0,0.00,out,
RCB Vs DC,RCB,9,KarnSharmaÂ,6,4,1,0,150.00,out,
RCB Vs DC,RCB,10,MohammedSirajÂ,0,0,0,0,-,out,
RCB Vs DC,DC,1,DavidWarnerÂ,1,2,0,0,50.00,out,
RCB Vs DC,DC,2,JakeFraser-McGurkÂ,21,8,2,2,262.50,out,
RCB Vs DC,DC,3,AbishekPorelÂ,2,3,0,0,66.66,out,
RCB Vs DC,DC,4,ShaiHopeÂ,29,23,4,0,126.08,out,
RCB Vs DC,DC,5,KumarKushagraÂ,2,3,0,0,66.66,out,
RCB Vs DC,DC,6,AxarPatelÂ(c),57,39,5,3,146.15,out,
RCB Vs DC,DC,7,TristanStubbsÂ,3,4,0,0,75.00,out,
RCB Vs DC,DC,8,RasikhSalamÂ,10,12,1,0,83.33,out,
RCB Vs DC,DC,9,KuldeepYadavÂ,6,10,0,0,60.00,out,
RCB Vs DC,DC,10,MukeshKumarÂ,3,7,0,0,42.85,out,
RCB Vs DC,DC,11,IshantSharmaÂ,0,4,0,0,0.00,not_out,
CSK Vs RR,RR,1,YashasviJaiswalÂ,24,21,3,1,114.28,out,
CSK Vs RR,RR,2,JosButtlerÂ,21,25,2,0,84.00,out,
CSK Vs RR,RR,3,SanjuSamsonÂ(c),15,19,0,0,78.94,out,
CSK Vs RR,RR,4,RiyanParagÂ,47,35,1,3,134.28,not_out,
CSK Vs RR,RR,5,DhruvJurelÂ,28,18,1,2,155.55,out,
CSK Vs RR,RR,6,ShubhamDubeyÂ,0,1,0,0,0.00,out,
CSK Vs RR,RR,7,RavichandranAshwinÂ,1,1,0,0,100.00,not_out,
CSK Vs RR,CSK,1,RachinRavindraÂ,27,18,1,2,150.00,out,
CSK Vs RR,CSK,2,RuturajGaikwadÂ(c),42,41,1,2,102.43,not_out,
CSK Vs RR,CSK,3,DarylMitchellÂ,22,13,4,0,169.23,out,
CSK Vs RR,CSK,4,MoeenAliÂ,10,13,0,0,76.92,out,
CSK Vs RR,CSK,5,ShivamDubeÂ,18,11,2,1,163.63,out,
CSK Vs RR,CSK,6,RavindraJadejaÂ,5,6,0,0,83.33,out,
CSK Vs RR,CSK,7,SameerRizviÂ,15,8,3,0,187.50,not_out,
KKR Vs MI,KKR,1,PhilSaltÂ,6,5,0,1,120.00,out,
KKR Vs MI,KKR,2,SunilNarineÂ,0,1,0,0,0.00,out,
KKR Vs MI,KKR,3,VenkateshIyerÂ,42,21,6,2,200.00,out,
KKR Vs MI,KKR,4,ShreyasIyerÂ(c),7,10,1,0,70.00,out,
KKR Vs MI,KKR,5,NitishRanaÂ,33,23,4,1,143.47,out,
KKR Vs MI,KKR,6,AndreRussellÂ,24,14,2,2,171.42,out,
KKR Vs MI,KKR,7,RinkuSinghÂ,20,12,0,2,166.66,out,
KKR Vs MI,KKR,8,RamandeepSinghÂ,17,8,1,1,212.50,not_out,
KKR Vs MI,KKR,9,MitchellStarcÂ,2,2,0,0,100.00,not_out,
KKR Vs MI,MI,1,IshanKishanÂ,40,22,5,2,181.81,out,
KKR Vs MI,MI,2,RohitSharmaÂ,19,24,1,1,79.16,out,
KKR Vs MI,MI,3,SuryakumarYadavÂ,11,14,1,0,78.57,out,
KKR Vs MI,MI,4,TilakVarmaÂ,32,17,5,1,188.23,out,
KKR Vs MI,MI,5,HardikPandyaÂ(c),2,4,0,0,50.00,out,
KKR Vs MI,MI,6,TimDavidÂ,0,3,0,0,0.00,out,
KKR Vs MI,MI,7,NehalWadheraÂ,3,3,0,0,100.00,out,
KKR Vs MI,MI,8,NamanDhirÂ,17,6,1,2,283.33,out,
KKR Vs MI,MI,9,AnshulKambojÂ,2,2,0,0,100.00,not_out,
KKR Vs MI,MI,10,PiyushChawlaÂ,1,2,0,0,50.00,not_out,
GT Vs CSK,GT,1,SaiSudharsanÂ,103,51,5,7,201.96,out,
GT Vs CSK,GT,2,ShubmanGillÂ(c),104,55,9,6,189.09,out,
GT Vs CSK,GT,3,DavidMillerÂ,16,11,1,0,145.45,not_out,
GT Vs CSK,GT,4,MShahrukh KhanÂ,2,3,0,0,66.66,out,
GT Vs CSK,CSK,1,AjinkyaRahaneÂ,1,5,0,0,20.00,out,
GT Vs CSK,CSK,2,RachinRavindraÂ,1,2,0,0,50.00,out,
GT Vs CSK,CSK,3,RuturajGaikwadÂ(c),0,3,0,0,0.00,out,
GT Vs CSK,CSK,4,DarylMitchellÂ,63,34,7,3,185.29,out,
GT Vs CSK,CSK,5,MoeenAliÂ,56,36,4,4,155.55,out,
GT Vs CSK,CSK,6,ShivamDubeÂ,21,13,2,1,161.53,out,
GT Vs CSK,CSK,7,RavindraJadejaÂ,18,10,2,1,180.00,out,
GT Vs CSK,CSK,8,MSDhoniÂ,26,11,1,3,236.36,not_out,
GT Vs CSK,CSK,9,MitchellSantnerÂ,0,2,0,0,0.00,out,
GT Vs CSK,CSK,10,ShardulThakurÂ,3,4,0,0,75.00,not_out,
PBKS Vs RCB,RCB,1,ViratKohliÂ,92,47,7,6,195.74,out,
PBKS Vs RCB,RCB,2,Fafdu PlessisÂ(c),9,7,2,0,128.57,out,
PBKS Vs RCB,RCB,3,WillJacksÂ,12,7,1,1,171.42,out,
PBKS Vs RCB,RCB,4,RajatPatidarÂ,55,23,3,6,239.13,out,
PBKS Vs RCB,RCB,5,CameronGreenÂ,46,27,5,1,170.37,out,
PBKS Vs RCB,RCB,6,DineshKarthikÂ,18,7,1,2,257.14,out,
PBKS Vs RCB,RCB,7,MahipalLomrorÂ,0,2,0,0,0.00,out,
PBKS Vs RCB,RCB,8,SwapnilSinghÂ,1,1,0,0,100.00,not_out,
PBKS Vs RCB,PBKS,1,PrabhsimranSinghÂ,6,4,1,0,150.00,out,
PBKS Vs RCB,PBKS,2,JonnyBairstowÂ,27,16,4,1,168.75,out,
PBKS Vs RCB,PBKS,3,RileeRossouwÂ,61,27,9,3,225.92,out,
PBKS Vs RCB,PBKS,4,ShashankSinghÂ,37,19,4,2,194.73,out,
PBKS Vs RCB,PBKS,5,JiteshSharmaÂ,5,4,1,0,125.00,out,
PBKS Vs RCB,PBKS,6,LiamLivingstoneÂ,0,2,0,0,0.00,out,
PBKS Vs RCB,PBKS,7,SamCurranÂ(c),22,16,2,0,137.50,out,
PBKS Vs RCB,PBKS,8,AshutoshSharmaÂ,8,5,0,1,160.00,out,
PBKS Vs RCB,PBKS,9,HarshalPatelÂ,0,1,0,0,0.00,out,
PBKS Vs RCB,PBKS,10,RahulChaharÂ,5,5,1,0,100.00,not_out,
PBKS Vs RCB,PBKS,11,ArshdeepSinghÂ,4,3,1,0,133.33,out,
SRH Vs LSG,LSG,1,KLRahulÂ(c),29,33,1,1,87.87,out,
SRH Vs LSG,LSG,2,Quintonde KockÂ,2,5,0,0,40.00,out,
SRH Vs LSG,LSG,3,MarcusStoinisÂ,3,5,0,0,60.00,out,
SRH Vs LSG,LSG,4,KrunalPandyaÂ,24,21,0,2,114.28,out,
SRH Vs LSG,LSG,5,NicholasPooranÂ,48,26,6,1,184.61,not_out,
SRH Vs LSG,LSG,6,AyushBadoniÂ,55,30,9,0,183.33,not_out,
SRH Vs LSG,SRH,1,AbhishekSharmaÂ,75,28,8,6,267.85,not_out,
SRH Vs LSG,SRH,2,TravisHeadÂ,89,30,8,8,296.66,not_out,
DC Vs RR,DC,1,JakeFraser-McGurkÂ,50,20,7,3,250.00,out,
DC Vs RR,DC,2,AbishekPorelÂ,65,36,7,3,180.55,out,
DC Vs RR,DC,3,ShaiHopeÂ,1,1,0,0,100.00,out,
DC Vs RR,DC,4,AxarPatelÂ,15,10,1,1,150.00,out,
DC Vs RR,DC,5,RishabhPantÂ(c),15,13,0,1,115.38,out,
DC Vs RR,DC,6,TristanStubbsÂ,41,20,3,3,205.00,out,
DC Vs RR,DC,7,GulbadinNaibÂ,19,15,1,1,126.66,out,
DC Vs RR,DC,8,RasikhSalamÂ,9,3,2,0,300.00,out,
DC Vs RR,DC,9,KuldeepYadavÂ,5,2,1,0,250.00,not_out,
DC Vs RR,RR,1,YashasviJaiswalÂ,4,2,1,0,200.00,out,
DC Vs RR,RR,2,JosButtlerÂ,19,17,2,1,111.76,out,
DC Vs RR,RR,3,SanjuSamsonÂ(c),86,46,8,6,186.95,out,
DC Vs RR,RR,4,RiyanParagÂ,27,22,1,3,122.72,out,
DC Vs RR,RR,5,ShubhamDubeyÂ,25,12,2,2,208.33,out,
DC Vs RR,RR,6,RovmanPowellÂ,13,10,1,1,130.00,out,
DC Vs RR,RR,7,DonovanFerreiraÂ,1,3,0,0,33.33,out,
DC Vs RR,RR,8,RavichandranAshwinÂ,2,3,0,0,66.66,out,
DC Vs RR,RR,9,TrentBoultÂ,2,3,0,0,66.66,not_out,
DC Vs RR,RR,10,AveshKhanÂ,7,3,1,0,233.33,not_out,
MI Vs SRH,SRH,1,TravisHeadÂ,48,30,7,1,160.00,out,
MI Vs SRH,SRH,2,AbhishekSharmaÂ,11,16,0,1,68.75,out,
MI Vs SRH,SRH,3,MayankAgarwalÂ,5,6,1,0,83.33,out,
MI Vs SRH,SRH,4,NitishKumar ReddyÂ,20,15,2,0,133.33,out,
MI Vs SRH,SRH,5,HeinrichKlaasenÂ,2,4,0,0,50.00,out,
MI Vs SRH,SRH,6,MarcoJansenÂ,17,12,1,1,141.66,out,
MI Vs SRH,SRH,7,ShahbazAhmedÂ,10,12,0,0,83.33,out,
MI Vs SRH,SRH,8,AbdulSamadÂ,3,4,0,0,75.00,out,
MI Vs SRH,SRH,9,PatCumminsÂ(c),35,17,2,2,205.88,not_out,
MI Vs SRH,SRH,10,SanvirSinghÂ,8,7,0,0,114.28,not_out,
MI Vs SRH,MI,1,IshanKishanÂ,9,7,2,0,128.57,out,
MI Vs SRH,MI,2,RohitSharmaÂ,4,5,1,0,80.00,out,
MI Vs SRH,MI,3,NamanDhirÂ,0,9,0,0,0.00,out,
MI Vs SRH,MI,4,SuryakumarYadavÂ,102,51,12,6,200.00,not_out,
MI Vs SRH,MI,5,TilakVarmaÂ,37,32,6,0,115.62,not_out,
LSG Vs KKR,KKR,1,PhilSaltÂ,32,14,5,1,228.57,out,
LSG Vs KKR,KKR,2,SunilNarineÂ,81,39,6,7,207.69,out,
LSG Vs KKR,KKR,3,AngkrishRaghuvanshiÂ,32,26,3,1,123.07,out,
LSG Vs KKR,KKR,4,AndreRussellÂ,12,8,1,1,150.00,out,
LSG Vs KKR,KKR,5,RinkuSinghÂ,16,11,2,0,145.45,out,
LSG Vs KKR,KKR,6,ShreyasIyerÂ(c),23,15,3,0,153.33,out,
LSG Vs KKR,KKR,7,RamandeepSinghÂ,25,6,1,3,416.66,not_out,
LSG Vs KKR,KKR,8,VenkateshIyerÂ,1,1,0,0,100.00,not_out,
LSG Vs KKR,LSG,1,KLRahulÂ(c),25,21,3,0,119.04,out,
LSG Vs KKR,LSG,2,ArshinKulkarniÂ,9,7,2,0,128.57,out,
LSG Vs KKR,LSG,3,MarcusStoinisÂ,36,21,4,2,171.42,out,
LSG Vs KKR,LSG,4,DeepakHoodaÂ,5,3,1,0,166.66,out,
LSG Vs KKR,LSG,5,NicholasPooranÂ,10,8,0,1,125.00,out,
LSG Vs KKR,LSG,6,AyushBadoniÂ,15,12,0,1,125.00,out,
LSG Vs KKR,LSG,7,AshtonTurnerÂ,16,9,0,2,177.77,out,
LSG Vs KKR,LSG,8,KrunalPandyaÂ,5,6,0,0,83.33,out,
LSG Vs KKR,LSG,9,YudhvirSinghÂ,7,7,0,1,100.00,out,
LSG Vs KKR,LSG,10,RaviBishnoiÂ,2,3,0,0,66.66,out,
LSG Vs KKR,LSG,11,Naveen-ul-HaqÂ,0,0,0,0,-,not_out,
PBKS Vs CSK,CSK,1,AjinkyaRahaneÂ,9,7,1,0,128.57,out,
PBKS Vs CSK,CSK,2,RuturajGaikwadÂ(c),32,21,4,1,152.38,out,
PBKS Vs CSK,CSK,3,DarylMitchellÂ,30,19,2,1,157.89,out,
PBKS Vs CSK,CSK,4,ShivamDubeÂ,0,1,0,0,0.00,out,
PBKS Vs CSK,CSK,5,MoeenAliÂ,17,20,2,0,85.00,out,
PBKS Vs CSK,CSK,6,RavindraJadejaÂ,43,26,3,2,165.38,out,
PBKS Vs CSK,CSK,7,MitchellSantnerÂ,11,11,1,0,100.00,out,
PBKS Vs CSK,CSK,8,ShardulThakurÂ,17,11,2,1,154.54,out,
PBKS Vs CSK,CSK,9,MSDhoniÂ,0,1,0,0,0.00,out,
PBKS Vs CSK,CSK,10,TusharDeshpandeÂ,0,1,0,0,0.00,not_out,
PBKS Vs CSK,CSK,11,RichardGleesonÂ,2,2,0,0,100.00,not_out,
PBKS Vs CSK,PBKS,1,PrabhsimranSinghÂ,30,23,2,2,130.43,out,
PBKS Vs CSK,PBKS,2,JonnyBairstowÂ,7,6,1,0,116.66,out,
PBKS Vs CSK,PBKS,3,RileeRossouwÂ,0,3,0,0,0.00,out,
PBKS Vs CSK,PBKS,4,ShashankSinghÂ,27,20,4,0,135.00,out,
PBKS Vs CSK,PBKS,5,SamCurranÂ(c),7,11,0,0,63.63,out,
PBKS Vs CSK,PBKS,6,JiteshSharmaÂ,0,1,0,0,0.00,out,
PBKS Vs CSK,PBKS,7,AshutoshSharmaÂ,3,10,0,0,30.00,out,
PBKS Vs CSK,PBKS,8,HarpreetBrarÂ,17,13,2,0,130.76,not_out,
PBKS Vs CSK,PBKS,9,HarshalPatelÂ,12,13,1,1,92.30,out,
PBKS Vs CSK,PBKS,10,RahulChaharÂ,16,10,2,1,160.00,out,
PBKS Vs CSK,PBKS,11,KagisoRabadaÂ,11,10,0,1,110.00,not_out,
RCB Vs GT,GT,1,WriddhimanSahaÂ,1,7,0,0,14.28,out,
RCB Vs GT,GT,2,ShubmanGillÂ(c),2,7,0,0,28.57,out,
RCB Vs GT,GT,3,SaiSudharsanÂ,6,14,0,0,42.85,out,
RCB Vs GT,GT,4,MShahrukh KhanÂ,37,24,5,1,154.16,out,
RCB Vs GT,GT,5,DavidMillerÂ,30,20,3,2,150.00,out,
RCB Vs GT,GT,6,RahulTewatiaÂ,35,21,5,1,166.66,out,
RCB Vs GT,GT,7,RashidKhanÂ,18,14,2,1,128.57,out,
RCB Vs GT,GT,8,VijayShankarÂ,10,7,2,0,142.85,out,
RCB Vs GT,GT,9,ManaVsutharÂ,1,2,0,0,50.00,out,
RCB Vs GT,GT,10,MohitSharmaÂ,0,1,0,0,0.00,out,
